Cell_Number, Life_Time, Total_Traveled_Distance, Net_Traveled_Distance, Mean_MSD
109, 1421.000000, 19.215427, 5.621669, 18.887455
110, 1363.000000, 12.122376, 0.907859, 2.154603
111, 551.000000, 6.950609, 1.926383, 1.966990
112, 435.000000, 4.372412, 2.066011, 1.511470
113, 406.000000, 3.008744, 1.013395, 0.367668
114, 319.000000, 3.462726, 1.331041, 1.422293
115, 290.000000, 2.025871, 0.709334, 0.205772
116, 58.000000, 0.534743, 0.534743, 0.285950
117, 29.000000, 0.000000, 0.000000, NaN
118, 1392.000000, 17.335064, 8.352001, 27.966560
119, 174.000000, 3.660721, 3.298372, 7.302821
120, 1334.000000, 13.407087, 5.536624, 14.185230
121, 145.000000, 1.172009, 0.763158, 0.379935
122, 1334.000000, 12.911183, 2.709243, 1.959095
123, 1131.000000, 13.725751, 1.689089, 6.807561
124, 1392.000000, 18.226716, 4.300745, 9.866817
125, 1160.000000, 14.379927, 1.162562, 2.307699
126, 435.000000, 4.531018, 2.311898, 2.815672
127, 58.000000, 0.540684, 0.540684, 0.292339
128, 1218.000000, 14.199519, 0.992348, 7.533135
129, 1508.000000, 13.940042, 2.632734, 2.915051
130, 1421.000000, 15.144070, 9.278769, 29.382842
131, 319.000000, 4.448337, 2.504892, 2.179764
132, 29.000000, 0.000000, 0.000000, NaN
133, 319.000000, 4.773180, 1.623811, 1.528974
134, 377.000000, 5.272422, 1.035101, 1.471965
135, 58.000000, 0.349409, 0.349409, 0.122087
136, 58.000000, 0.321520, 0.321520, 0.103375
137, 464.000000, 6.273661, 3.053676, 6.180438
138, 261.000000, 2.789268, 1.131250, 0.799013
139, 29.000000, 0.000000, 0.000000, NaN
140, 58.000000, 2.980936, 2.980936, 8.885980
141, 377.000000, 3.935329, 3.030044, 3.270562
142, 1305.000000, 13.571552, 3.455933, 6.086773
143, 1305.000000, 11.373889, 1.485485, 1.662356
144, 522.000000, 3.702842, 0.849559, 0.703476
145, 174.000000, 1.763516, 1.223174, 0.589269
146, 1073.000000, 12.584024, 4.613717, 7.093275
147, 116.000000, 1.327922, 0.648384, 0.437038
148, 406.000000, 6.361046, 3.224978, 7.511884
149, 725.000000, 9.199937, 5.843961, 7.677917
150, 261.000000, 2.784669, 0.662096, 0.281662
151, 145.000000, 1.261837, 0.588639, 0.283939
152, 203.000000, 4.786457, 2.018051, 3.679587
153, 232.000000, 2.921406, 0.366833, 0.244546
154, 58.000000, 0.292552, 0.292552, 0.085586
155, 58.000000, 0.776087, 0.776087, 0.602311
156, 1044.000000, 10.427444, 0.497130, 2.082013
157, 1044.000000, 16.411390, 12.509924, 73.403847
158, 58.000000, 0.246814, 0.246814, 0.060917
159, 87.000000, 2.929927, 2.012867, 3.582550
160, 29.000000, 0.000000, 0.000000, NaN
161, 319.000000, 8.662496, 1.912640, 3.141563
162, 928.000000, 13.086214, 6.523673, 23.115422
163, 928.000000, 11.026767, 3.624795, 5.294172
164, 87.000000, 0.491107, 0.381687, 0.107526
165, 58.000000, 0.046568, 0.046568, 0.002169
166, 58.000000, 0.177400, 0.177400, 0.031471
167, 29.000000, 0.000000, 0.000000, NaN
168, 580.000000, 7.071887, 4.233557, 3.790680
169, 667.000000, 7.203255, 2.470870, 1.839715
170, 58.000000, 3.120119, 3.120119, 9.735145
171, 377.000000, 5.503364, 3.669945, 4.807155
172, 87.000000, 0.400985, 0.277057, 0.068016
173, 232.000000, 3.600366, 2.251168, 3.010738
174, 29.000000, 0.000000, 0.000000, NaN
175, 58.000000, 1.226447, 1.226447, 1.504172
176, 87.000000, 0.421329, 0.415810, 0.110022
177, 87.000000, 0.871288, 0.451450, 0.210876
178, 29.000000, 0.000000, 0.000000, NaN
179, 145.000000, 1.793753, 1.299752, 0.846537
180, 87.000000, 1.526383, 1.469714, 1.385383
181, 203.000000, 5.489158, 2.691309, 2.994031
182, 29.000000, 0.000000, 0.000000, NaN
183, 29.000000, 0.000000, 0.000000, NaN
184, 116.000000, 3.628201, 1.055929, 1.945094
185, 58.000000, 2.663426, 2.663426, 7.093837
186, 87.000000, 0.940793, 0.940765, 0.558121
187, 29.000000, 0.000000, 0.000000, NaN
188, 145.000000, 3.488639, 2.452023, 3.496425
189, 174.000000, 2.688093, 1.011188, 0.842321
190, 116.000000, 1.244389, 0.882145, 0.595500
191, 87.000000, 0.988021, 0.987386, 0.631595
192, 58.000000, 0.320707, 0.320707, 0.102853
193, 522.000000, 8.148443, 5.735710, 14.335693
194, 522.000000, 5.690548, 1.616345, 1.586330
195, 29.000000, 0.000000, 0.000000, NaN
196, 174.000000, 3.383450, 2.897701, 3.704654
197, 58.000000, 0.207440, 0.207440, 0.043031
198, 464.000000, 4.083308, 2.201343, 2.465243
199, 464.000000, 3.772531, 2.061294, 2.027620
200, 87.000000, 0.472284, 0.209324, 0.049856
201, 29.000000, 0.000000, 0.000000, NaN
202, 29.000000, 0.000000, 0.000000, NaN
203, 174.000000, 2.074194, 1.908568, 1.780991
204, 435.000000, 4.557845, 3.193397, 4.214079
205, 203.000000, 2.091250, 1.485333, 1.091940
206, 29.000000, 0.000000, 0.000000, NaN
207, 29.000000, 0.000000, 0.000000, NaN
208, 58.000000, 2.629801, 2.629801, 6.915854
209, 58.000000, 3.217353, 3.217353, 10.351361
210, 377.000000, 2.523406, 1.378773, 0.834211
211, 377.000000, 4.344809, 1.898825, 1.936444
212, 58.000000, 0.389787, 0.389787, 0.151934
213, 145.000000, 2.393415, 2.349729, 3.074979
214, 58.000000, 0.271082, 0.271082, 0.073485
215, 348.000000, 2.773840, 0.809299, 0.364551
216, 348.000000, 3.424376, 2.247554, 2.346033
217, 87.000000, 0.707050, 0.493762, 0.190294
218, 232.000000, 2.173410, 1.862203, 1.455255
219, 145.000000, 3.482707, 2.335344, 4.537427
220, 232.000000, 3.886878, 2.087433, 2.683034
221, 145.000000, 1.382547, 1.148321, 0.674140
222, 58.000000, 0.120265, 0.120265, 0.014464
223, 290.000000, 3.187187, 2.346521, 2.661642
224, 290.000000, 3.716379, 3.031861, 4.221403
225, 261.000000, 2.801343, 2.271821, 2.574527
226, 261.000000, 2.501549, 2.156821, 2.255524
227, 261.000000, 2.179124, 1.610519, 1.044708
228, 261.000000, 6.553707, 0.528243, 3.317491
229, 174.000000, 1.857328, 1.213884, 0.815509
230, 87.000000, 0.254963, 0.170862, 0.023770
231, 58.000000, 0.276663, 0.276663, 0.076542
232, 29.000000, 0.000000, 0.000000, NaN
233, 87.000000, 0.619354, 0.604455, 0.231287
234, 116.000000, 5.468536, 4.084425, 14.627600
235, 203.000000, 2.198548, 1.614624, 1.378480
236, 203.000000, 1.960147, 0.356164, 0.233914
237, 203.000000, 1.952908, 0.793253, 0.393049
238, 203.000000, 1.142579, 0.907045, 0.450804
239, 29.000000, 0.000000, 0.000000, NaN
240, 58.000000, 2.370203, 2.370203, 5.617862
241, 58.000000, 0.437019, 0.437019, 0.190985
242, 174.000000, 1.657583, 0.248122, 0.135377
243, 174.000000, 1.156533, 0.610415, 0.253582
244, 145.000000, 0.800835, 0.611754, 0.169890
245, 145.000000, 1.060145, 1.026868, 0.485031
246, 29.000000, 0.000000, 0.000000, NaN
247, 58.000000, 2.645410, 2.645410, 6.998195
248, 116.000000, 0.781198, 0.605282, 0.222105
249, 116.000000, 0.591673, 0.576835, 0.189331
250, 116.000000, 1.334298, 0.534324, 0.185258
251, 116.000000, 0.942051, 0.464763, 0.182175
252, 116.000000, 1.083144, 0.757304, 0.391551
253, 116.000000, 0.630668, 0.260671, 0.063048
254, 58.000000, 0.197252, 0.197252, 0.038908
255, 58.000000, 0.459017, 0.459017, 0.210697
256, 87.000000, 2.242283, 2.076517, 3.250390
257, 87.000000, 0.508615, 0.199350, 0.056981
258, 87.000000, 0.348707, 0.221480, 0.043432
259, 29.000000, 0.000000, 0.000000, NaN
260, 58.000000, 2.819360, 2.819360, 7.948791
261, 58.000000, 0.143003, 0.143003, 0.020450
262, 58.000000, 0.115612, 0.115612, 0.013366
263, 58.000000, 2.804447, 2.804447, 7.864925
264, 29.000000, 0.000000, 0.000000, NaN
265, 29.000000, 0.000000, 0.000000, NaN
266, 29.000000, 0.000000, 0.000000, NaN
267, 29.000000, 0.000000, 0.000000, NaN
268, 29.000000, 0.000000, 0.000000, NaN
